0 1 0.000000 0.132950 0.276701 0.049957 0.962397
1 1 0.000000 0.164756 0.342694 0.025751 0.983086
2 1 0.000000 0.554145 0.079399 0.025751 0.983086
3 1 0.000000 0.510787 0.372579 0.025751 0.983086
4 1 0.000000 0.457111 0.346537 0.025751 0.983086
5 1 0.000000 0.570372 0.326516 0.025751 0.983086
6 1 0.000000 0.534020 0.104478 0.025751 0.983086
7 1 0.000000 0.357594 0.172531 0.025751 0.983086
8 1 0.000000 0.279925 0.174390 0.025751 0.983086
9 1 0.000000 0.260717 0.385542 0.025751 0.983086
10 1 0.000000 0.229655 0.138234 0.025751 0.983086
11 1 0.000000 0.985249 0.020557 0.025751 0.983086
12 1 0.000000 0.592961 0.165352 0.025751 0.983086
13 1 0.000000 0.756524 0.362177 0.043776 0.967266
14 1 0.000000 0.785301 0.248652 0.025751 0.983086
15 1 0.000000 0.077217 0.260325 0.025751 0.983086
16 1 0.000000 0.142151 0.281397 0.036823 0.972546
17 1 0.000000 0.588358 0.255742 0.025751 0.983086
18 1 0.000000 0.706449 0.429286 0.025751 0.983086
19 1 0.000000 0.166253 0.263978 0.025751 0.983086
20 1 0.000000 0.907208 0.016309 0.025751 0.983086
21 1 0.000000 0.721939 0.343287 0.025751 0.983086
22 1 0.000000 0.619044 0.233135 0.043777 0.967265
23 1 0.000000 0.747571 0.363910 0.036567 0.972790
24 1 0.000000 0.638526 0.265462 0.027811 0.981125
25 1 0.000000 0.677545 0.220247 0.025751 0.983086
26 1 0.000000 0.548486 0.146508 0.025751 0.983086
27 1 0.000000 0.646965 0.129861 0.025751 0.983086
28 1 0.000000 0.624992 0.238262 0.047897 0.964277
29 1 0.000000 0.601215 0.196648 0.025751 0.983086
0 1 1.000000 0.123745 0.271612 0.007261 0.995240
1 1 1.000000 0.160110 0.333158 0.004026 0.997432
2 1 1.000000 0.548326 0.070169 0.004113 0.997372
3 1 1.000000 0.520738 0.377383 0.005733 0.996275
4 1 1.000000 0.466777 0.351444 0.005182 0.996649
5 1 1.000000 0.570943 0.337448 0.005192 0.996642
6 1 1.000000 0.526169 0.096759 0.004551 0.997076
7 1 1.000000 0.368134 0.169520 0.002658 0.998358
8 1 1.000000 0.288974 0.168273 0.002823 0.998247
9 1 1.000000 0.252221 0.378671 0.002139 0.998710
10 1 1.000000 0.239211 0.133184 0.002893 0.998199
11 1 1.000000 0.976030 0.025806 0.003685 0.997662
12 1 1.000000 0.584669 0.158232 0.007507 0.995073
13 1 1.000000 0.757826 0.373016 0.004913 0.996831
14 1 1.000000 0.783193 0.259248 0.002153 0.998700
15 1 1.000000 0.068968 0.267502 0.005647 0.996334
16 1 1.000000 0.132912 0.276034 0.007114 0.995340
17 1 1.000000 0.592712 0.264895 0.007083 0.995361
18 1 1.000000 0.715013 0.435966 0.003228 0.997972
19 1 1.000000 0.155863 0.261280 0.005288 0.996577
20 1 1.000000 0.896508 0.018356 0.003720 0.997639
21 1 1.000000 0.726032 0.353333 0.003737 0.997627
22 1 1.000000 0.612744 0.238099 0.007225 0.995264
23 1 1.000000 0.749586 0.374656 0.004772 0.996926
24 1 1.000000 0.643197 0.275506 0.007083 0.995360
25 1 1.000000 0.672114 0.229515 0.004351 0.997211
26 1 1.000000 0.540671 0.138847 0.006756 0.995582
27 1 1.000000 0.636300 0.127825 0.004161 0.997340
28 1 1.000000 0.623114 0.248284 0.007337 0.995188
29 1 1.000000 0.593785 0.188689 0.008195 0.994607
0 1 2.000000 0.115162 0.269192 0.005500 0.996433
1 1 2.000000 0.158540 0.324088 0.003679 0.997666
2 1 2.000000 0.542113 0.062494 0.004056 0.997411
3 1 2.000000 0.529711 0.381786 0.004536 0.997086
4 1 2.000000 0.475662 0.355861 0.004173 0.997332
5 1 2.000000 0.571510 0.347395 0.005024 0.996755
6 1 2.000000 0.519126 0.089627 0.004146 0.997350
7 1 2.000000 0.377747 0.166805 0.002016 0.998793
8 1 2.000000 0.297639 0.163357 0.002315 0.998591
9 1 2.000000 0.244482 0.372382 0.001581 0.999088
10 1 2.000000 0.248302 0.129167 0.002185 0.998679
11 1 2.000000 0.967114 0.030132 0.002248 0.998636
12 1 2.000000 0.577207 0.151677 0.006866 0.995507
13 1 2.000000 0.759065 0.382876 0.004087 0.997390
14 1 2.000000 0.779787 0.268582 0.002036 0.998779
15 1 2.000000 0.061573 0.274229 0.005042 0.996744
16 1 2.000000 0.124466 0.271607 0.005422 0.996486
17 1 2.000000 0.597921 0.273282 0.005751 0.996263
18 1 2.000000 0.722478 0.442467 0.003709 0.997646
19 1 2.000000 0.146194 0.259291 0.004613 0.997034
20 1 2.000000 0.886728 0.020323 0.002369 0.998554
21 1 2.000000 0.729481 0.362672 0.003653 0.997684
22 1 2.000000 0.606471 0.240586 0.005273 0.996587
23 1 2.000000 0.751555 0.384422 0.004034 0.997426
24 1 2.000000 0.647929 0.284183 0.006060 0.996054
25 1 2.000000 0.668683 0.238780 0.004075 0.997399
26 1 2.000000 0.533448 0.131916 0.005938 0.996136
27 1 2.000000 0.626655 0.125559 0.004411 0.997171
28 1 2.000000 0.624912 0.257649 0.005578 0.996380
29 1 2.000000 0.587405 0.181111 0.007014 0.995407
0 1 3.000000 0.106452 0.269841 0.004983 0.996783
1 1 3.000000 0.154259 0.315316 0.003443 0.997827
2 1 3.000000 0.534482 0.056113 0.004186 0.997323
3 1 3.000000 0.538618 0.386304 0.003839 0.997558
4 1 3.000000 0.484627 0.360178 0.003520 0.997774
5 1 3.000000 0.573781 0.356210 0.004470 0.997131
